,Team,Home,ML,Spread,Over,season_wins,net_points,avg_for_fg,avg_for_fgp,avg_opp_fgp,avg_for_3p,avg_for_3pp,avg_opp_3pp,avg_for_ft,avg_for_ftp,avg_opp_fta,avg_for_rb,avg_opp_rb,avg_for_blk,avg_opp_blk,avg_for_to,avg_opp_to
0,MEM,1,245,6.1,231.8,34,-80.30000000000109,42.5,0.46799999999999997,0.45,10.9,0.34700000000000003,0.365,16.6,0.763,25.0,46.5,44.9,5.5,5.3,15.2,14.9
1,POR,0,-295,-6.1,231.8,35,-81.39999999999964,42.2,0.46299999999999997,0.456,12.9,0.377,0.38299999999999995,17.7,0.804,24.7,45.3,46.9,6.1,4.9,12.8,12.7
2,DEN,1,-154,-3.2,218.7,46,153.29999999999927,42.0,0.473,0.46299999999999997,11.0,0.359,0.358,16.2,0.777,22.5,44.2,42.7,4.6,4.4,13.8,14.3
3,UTA,0,134,3.2,218.7,44,180.0,40.1,0.47100000000000003,0.457,13.4,0.38,0.353,17.8,0.779,21.5,44.9,42.7,4.1,4.6,15.1,12.4
4,BRK,1,369,9.6,223.7,35,-36.0,40.4,0.44799999999999995,0.446,13.1,0.34299999999999997,0.35,17.9,0.745,22.6,48.0,46.0,4.5,5.3,15.3,13.0
5,TOR,0,-469,-9.6,223.7,53,453.59999999999945,40.2,0.45799999999999996,0.428,13.8,0.374,0.337,18.5,0.7959999999999999,23.2,45.4,46.0,5.0,5.5,14.8,16.8
6,BOS,1,-217,-5.5,220.0,48,460.8000000000011,41.3,0.461,0.441,12.6,0.364,0.34,18.6,0.8009999999999999,24.5,46.099999999999994,44.3,5.6,5.5,13.8,15.2
7,PHI,0,184,5.5,220.0,43,167.89999999999964,41.1,0.46799999999999997,0.46299999999999997,11.6,0.368,0.353,16.9,0.755,24.5,45.5,41.800000000000004,5.3,4.0,14.2,14.0
8,DAL,1,198,5.8,230.7,43,367.5,41.7,0.461,0.45799999999999996,15.1,0.36700000000000005,0.35100000000000003,18.6,0.779,21.0,46.9,45.4,4.8,4.1,12.7,11.9
9,LAC,0,-238,-5.8,230.7,49,460.8000000000002,41.6,0.466,0.43799999999999994,12.4,0.371,0.345,20.8,0.7909999999999999,24.5,47.7,45.3,4.7,4.7,14.6,14.3
10,MIL,1,-748,-11.2,224.5,56,737.3000000000011,43.3,0.47600000000000003,0.414,13.8,0.355,0.355,18.3,0.742,21.2,51.7,45.8,5.9,4.5,15.1,14.0
11,ORL,0,544,11.2,224.5,33,-73.0,39.3,0.444,0.465,11.1,0.34299999999999997,0.364,17.6,0.774,19.8,44.5,44.8,5.4,4.6,12.8,14.7
12,IND,1,156,3.8,217.2,45,138.70000000000073,42.1,0.47600000000000003,0.446,10.2,0.363,0.341,15.0,0.787,21.6,42.8,45.3,5.2,4.6,13.2,14.6
13,MIA,0,-178,-3.8,217.2,44,211.70000000000073,39.5,0.46799999999999997,0.44799999999999995,13.4,0.379,0.34700000000000003,19.7,0.7829999999999999,23.6,44.4,42.5,4.5,4.1,14.9,14.5
14,HOU,1,100,1.5,227.0,44,216.0,40.8,0.451,0.462,15.6,0.345,0.349,20.6,0.7909999999999999,23.7,44.3,47.900000000000006,5.2,4.9,14.7,15.9
15,OKC,0,-120,-1.5,227.0,44,144.0,40.0,0.46799999999999997,0.455,10.7,0.355,0.34,19.8,0.7959999999999999,19.6,42.900000000000006,44.8,4.9,4.0,13.7,14.3
