,Team,ML,Spread,Date,Home,Over
0,LAC,165,4.7,2020-08-08,1,236.78571428571428
1,POR,-198,-4.7,2020-08-08,0,236.78571428571428
2,DEN,-123,-1.5,2020-08-08,1,221.66666666666666
3,DEN,-123,-1.5,2020-08-10,1,NaN
4,DEN,-123,1.5,2020-08-08,1,221.66666666666666
5,DEN,-123,1.5,2020-08-10,1,NaN
6,DEN,102,-1.5,2020-08-08,1,221.66666666666666
7,DEN,102,-1.5,2020-08-10,1,NaN
8,DEN,102,1.5,2020-08-08,1,221.66666666666666
9,DEN,102,1.5,2020-08-10,1,NaN
10,UTA,104,1.5,2020-08-08,0,221.66666666666666
11,IND,207,6.0,2020-08-08,1,218.66666666666666
12,LAL,-248,-6.0,2020-08-08,0,218.66666666666666
13,LAL,-248,-6.0,2020-08-10,0,NaN
14,LAL,-248,-1.5,2020-08-08,0,218.66666666666666
15,LAL,-248,-1.5,2020-08-10,0,NaN
16,LAL,-120,-6.0,2020-08-08,0,218.66666666666666
17,LAL,-120,-6.0,2020-08-10,0,NaN
18,LAL,-120,-1.5,2020-08-08,0,218.66666666666666
19,LAL,-120,-1.5,2020-08-10,0,NaN
20,MIA,113,2.0,2020-08-08,1,225.83333333333334
21,PHO,-132,-2.0,2020-08-08,0,225.83333333333334
22,DAL,186,5.5,2020-08-08,1,234.05
23,MIL,-222,-5.5,2020-08-08,0,234.05
